Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
airport line metro timing : 3rd query,,,,,,,,,
,,,,,,,,,
http://www.delhimetrotimes.in/delhi-metro-airport-express-line.html,,1,,,,,1,,
http://www.delhimetrorail.com/Airport-Express-Line.aspx,,1,,,,,2,,
http://www.delhicapital.com/delhi-metro/airport-express-line.html,,1,,,,,3,,
https://www.quora.com/Delhi-Metro-How-much-time-does-the-airport-line-take-to-reach-New-Delhi-station-from-IGI-T3,,1,,,,,4,,
http://www.baidu.com/link?url=j5P14vgZV6qI1tAAvI4SdtpO_aX4n4r0BgbdDLrfojN5xIzKLMEjX93QRW0iTwPbYfNoFcZOQx8UlotAj3I8KYUUbJ7xowvSB0NMvCbdsL_,,1,,,,,5,,
https://en.wikipedia.org/wiki/Delhi_Airport_Metro_Express,,1,,,,,6,,
https://www.dubai-online.com/transport/metro/,,0,,,,,10,,
http://www.delhimetrotimes.in/metro-timings.html,,1,,,,,7,,
http://www.delhimetrotimes.in/delhi-metro-airport-express-line.html&sa=U&ved=0ahUKEwj55oOH14TaAhVSv5QKHTInBOwQFghWMAk&usg=AOvVaw0miUkPUmGJNs2RyhcmDRFe,,1,,,,,8,,
https://www.tripsavvy.com/delhi-metro-airport-express-train-guide-4134945,,1,,,,,9,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,1,,,,,,,
"8,9",,0,,,,,,,
"8,10",,1,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
timing of last metro : 4th query,,,,,,,,,
,,,,,,,,,
https://delhimetrorail.info/delhi-metro-last-train-time,,1,,,,,1,,
http://www.kolkatametrorail.com/time-table-metro-train,,1,,,,,2,,
http://www.delhimetrotimes.in/metro-timings.html,,1,,,,,3,,
http://www.delhimetrorail.com/metro_timing.aspx,,1,,,,,4,,
http://www.delhimetrorail.com/OtherDocuments/last-train-details.pdf,,1,,,,,5,,
http://www.delhicapital.com/delhi-metro/metro-train-timings.html,,1,,,,,6,,
www.delhimetrotimes.in/metro-timings.html&sa=U&ved=0ahUKEwiUmKnq14TaAhUCGZQKHRJuAp8QFghOMAo&usg=AOvVaw0UJTLnJfkTQgrqjF4EtJwv,,1,,,,,7,,
https://www.dubai-online.com/transport/metro/,,0,,,,,8,,
https://www.yourmechanic.com/services/timing-chain-replacement,,0,,,,,9,,
http://www.dictionary.com/browse/timing,,0,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
lost and found in dmrc :5th query,,,,,,,,,
,,,,,,,,,
http://www.delhimetrorail.com/lost_found.aspx,,1,,,,,1,,
https://delhimetrorail.info/delhi-metro-lost-and-found,,1,,,,,2,,
http://www.thehindubusinessline.com/economy/logistics/delhi-metro-launches-online-lost-and-found-service/article3816183.ece,,1,,,,,3,,
http://www.metroeasy.com/delhi-metro/delhi-metro-fares-timings-faq/delhi-metro-lost,,1,,,,,4,,
https://en.wikipedia.org/wiki/Lost_(TV_series),,0,,,,,5,,
http://lostpedia.wikia.com/wiki/Lost,,0,,,,,6,,
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/delhi-metros-lost-and-found-keeper-of-your-belongings/article3488366.ece,,0,,,,,7,,
http://www.losters.com/104--Rajiv-Chowk-Metro-Station-lost-and-found-Metro,,0,,,,,8,,
http://www.losters.com/55--Kashmere-Gate-Metro-Station-lost-and-found-Metro,,0,,,,,9,,
http://www.dictionary.com/browse/lost,,0,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
Helpline number of Delhi Metro : 6th query,,,,,,,,,
,,,,,,,,,
https://www.dmrcsmartcard.com/ContactUs.aspx,,1,,,,,1,,
https://www.customercaretollfreenumber.com/delhi-metro/,,1,,,,,2,,
https://customercare.tollfree-number.org/2015/03/dmrc-metro-station-numbers-delhi-metro.html,,1,,,,,3,,
http://www.delhimetrorail.com/contact_us.aspx,,1,,,,,4,,
http://www.customersupportnumber.in/railways/delhi-metro-customer-care-number.html,,1,,,,,5,,
http://customerkarts.com/delhi-metro-customer-care-number/,,1,,,,,6,,
http://customercaresupportinfo.in/delhi-metro-dmrc-customer-care-complaint-number-toll-free-office-address.html,,1,,,,,7,,
http://customer-carenumber.com/travel/delhi-metro-customer-care/,,1,,,,,8,,
http://www.baidu.com/link?url=qPSDWKqvC6natjl-LZpG4xAsTxiJiOsjR8vFT-tiTzOy_6CvSTnCFNP6xZwDCY4_,,0,,,,,9,,
http://www.baidu.com/link?url=8W3qcOsY6e0CYwQd-Y8y4K9atkPWv-NKShGQUUpTTc6aDzfaHFV50VhoV1aRnI5nJNm86L4ire6fYlMjB-TnQ_,,0,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
