Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
https://en.wikipedia.org/wiki/Delhi_Airport_Metro_Express,,1,,,,,5,,
http://www.delhimetrotimes.in/metro-timings.html,,0,,,,,9,,
http://www.delhimetrotimes.in/delhi-metro-airport-express-line.html&sa=U&ved=0ahUKEwj55oOH14TaAhVSv5QKHTInBOwQFghWMAk&usg=AOvVaw0miUkPUmGJNs2RyhcmDRFe,,0,,,,,8,,
https://www.tripsavvy.com/delhi-metro-airport-express-train-guide-4134945,,1,,,,,4,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,1,,,,,,,
"8,9",,0,,,,,,,
"8,10",,1,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
timing of last metro : 4th query,,,,,,,,,
,,,,,,,,,
http://delhimetroroute.in/timings.html&sa=U&ved=0ahUKEwiJmvbl1t3aAhXGvY8KHR0tCYAQFghHMAg&usg=AOvVaw00kCBGBCiChV6-n77zabJb,,0,,,,,2,,
http://www.delhimetrorail.com/metro_timing.aspx,,1,,,,,3,,
http://www.delhimetrorail.com/OtherDocuments/last-train-details.pdf,,1,,,,,4,,
https://delhimetrorail.info/delhi-metro-last-train-time,,1,,,,,5,,
http://www.kolkatametrorail.com/time-table-metro-train,,1,,,,,7,,
http://www.delhimetrotimes.in/metro-timings.html,,0,,,,,8,,
http://www.delhimetrorail.com/metro_timing.aspx,,1,,,,,9,,
http://www.delhimetrorail.com/OtherDocuments/last-train-details.pdf,,1,,,,,10,,
http://www.delhicapital.com/delhi-metro/metro-train-timings.html,,1,,,,,6,,
www.delhimetrotimes.in/metro-timings.html&sa=U&ved=0ahUKEwiUmKnq14TaAhUCGZQKHRJuAp8QFghOMAo&usg=AOvVaw0UJTLnJfkTQgrqjF4EtJwv,,0,,,,,1,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
lost and found in dmrc :5th query,,,,,,,,,
,,,,,,,,,
https://delhimetrorail.info/delhi-metro-lost-and-found&sa=U&ved=0ahUKEwjKqfaV193aAhWLRo8KHdf4CLwQFggwMAU&usg=AOvVaw1KAfTHifA77563VvHPdGPD,,0,,,,,2,,
http://www.delhimetrorail.com/lost_found.aspx,,1,,,,,3,,
http://www.dailymail.co.uk/indiahome/indianews/article-2362274/Delhi-Metro-launches-helpline-trace-lost-property.html,,1,,,,,4,,
https://delhimetrorail.info/delhi-metro-lost-and-found,,1,,,,,5,,
http://www.metroeasy.com/delhi-metro/delhi-metro-fares-timings-faq/delhi-metro-lost,,1,,,,,6,,
http://indialocation.in/delhi-metro-lost-and-found-helpline-no-delhi-metro-rail-helpline-no.html/,,1,,,,,7,,
http://www.delhimetrorail.com/lost_found.aspx,,1,,,,,8,,
https://delhimetrorail.info/delhi-metro-lost-and-found,,1,,,,,9,,
http://www.thehindubusinessline.com/economy/logistics/delhi-metro-launches-online-lost-and-found-service/article3816183.ece,,1,,,,,10,,
http://www.metroeasy.com/delhi-metro/delhi-metro-fares-timings-faq/delhi-metro-lost,,1,,,,,1,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
